,iptat_intercept,iptat_slope,iptat_rvalue,vctat_intercept,vctat_slope,vctat_rvalue,i_act_25,i_leak_25,name,type,time,OK
10,3.156390781832149,0.004908693105434993,0.9998383936612782,753.496296410158,-1.7677991180511443,-0.9999713375454341,52.37828,0.6167313,tran_LayGtKttmmTtVt_19,Lay,Thu Apr 16 17:31:41 2026,False
11,1.6540408714600168,0.0059499217030329005,0.9998669250063836,736.049759981386,-1.7666717732047101,-0.9999697959365826,51.062490000000004,0.6008675,tran_LayGtKttmmTtVt_18,Lay,Thu Apr 16 17:31:41 2026,False
12,1.845835371482176,0.005851530956848027,0.9998090640219692,756.9986285281647,-1.7710466384009698,-0.9999726110184176,52.1305,0.537205,tran_LayGtKttmmTtVt_17,Lay,Thu Apr 16 17:31:41 2026,False
13,1.6077031365912753,0.006228440516464522,0.9998285128535734,731.3590912233532,-1.7641051277126942,-0.9999680492003232,49.58695,0.6050634,tran_LayGtKttmmTtVt_16,Lay,Thu Apr 16 17:31:41 2026,False
14,3.020009992687358,0.00468594624100693,0.9997273725555805,766.976382817509,-1.7572154082522047,-0.9999683987238723,55.20637,0.54994,tran_LayGtKttmmTtVt_15,Lay,Thu Apr 16 17:31:41 2026,False
15,3.255561365543426,0.004323250934393051,0.9999937535798349,756.7354348894241,-1.7649501765375006,-0.9999720154093903,54.28816,0.6243613,tran_LayGtKttmmTtVt_14,Lay,Thu Apr 16 17:31:41 2026,False
16,1.9798240546601469,0.005167826077321951,0.9999701960345843,746.9203336337179,-1.7746745593948976,-0.9999739330414696,51.086130000000004,0.5780237,tran_LayGtKttmmTtVt_13,Lay,Thu Apr 16 17:31:41 2026,False
17,2.8168290017136695,0.0057621156283700955,0.9997270329969031,754.0981138762909,-1.760185260965269,-0.999969669603245,53.31383,0.597614,tran_LayGtKttmmTtVt_12,Lay,Thu Apr 16 17:31:41 2026,False
18,2.1212877202286866,0.0056869674993721454,0.9998442196249265,754.5943517735002,-1.7671393863290545,-0.9999717859606528,52.56615,0.5733782,tran_LayGtKttmmTtVt_11,Lay,Thu Apr 16 17:31:41 2026,False
19,3.172510198150419,0.004915947614897105,0.9997266740658332,759.7751340089524,-1.7601578614586875,-0.9999690172251843,54.5836,0.595795,tran_LayGtKttmmTtVt_10,Lay,Thu Apr 16 17:31:41 2026,False
20,2.6869501296036398,0.005161322480093366,0.9999425843134898,756.2839926519035,-1.7680285650972798,-0.9999731842641495,52.36487,0.5879237,tran_LayGtKttmmTtVt_9,Lay,Thu Apr 16 17:31:41 2026,False
21,3.5245607859538195,0.004127014315049267,0.9999532530799793,763.879610391337,-1.7635005776247947,-0.9999711284330958,53.70061,0.5886562000000001,tran_LayGtKttmmTtVt_8,Lay,Thu Apr 16 17:31:41 2026,False
22,2.134351777134331,0.006479531296627323,0.9997101211628017,742.8379144686886,-1.7624978756407794,-0.9999688560185925,50.08583,0.6088037000000001,tran_LayGtKttmmTtVt_7,Lay,Thu Apr 16 17:31:41 2026,False
23,5.679635889896737,-2.4179122778509456e-05,-0.12465582453971231,772.0187708469368,-1.7581343191857115,-0.9999696586908519,56.5713,3.552633,tran_LayGtKttmmTtVt_6,Lay,Thu Apr 16 17:31:41 2026,False
24,1.7179037589487522,0.00638153699901021,0.9998811344098214,737.6728153314326,-1.7636775937716982,-0.9999707752025845,48.41337,0.6156697,tran_LayGtKttmmTtVt_5,Lay,Thu Apr 16 17:31:41 2026,False
25,2.144771332703018,0.006678336780369623,0.9997084089854509,744.9463706356828,-1.7580425388899563,-0.9999684162012646,51.94504,0.5975212,tran_LayGtKttmmTtVt_4,Lay,Thu Apr 16 17:31:41 2026,False
26,3.0356276865462175,0.004784901700373758,0.9999336835208631,753.2851709784169,-1.7692194132159373,-0.999972450464339,53.73444,0.6185478999999999,tran_LayGtKttmmTtVt_3,Lay,Thu Apr 16 17:31:41 2026,False
27,1.9437671972049462,0.00645395278545154,0.9998056601210425,742.1228058323853,-1.763644395857648,-0.9999702907198198,50.0222,0.6098317,tran_LayGtKttmmTtVt_2,Lay,Thu Apr 16 17:31:41 2026,False
28,3.3270111887843283,0.00422643633570194,0.9998500335055602,766.0521840451463,-1.765262746893975,-0.9999703367529768,56.34294,0.5698859000000001,tran_LayGtKttmmTtVt_1,Lay,Thu Apr 16 17:31:41 2026,False
29,2.8673480679410854,0.00691297219719017,0.9996541720920089,757.4483250284379,-1.7470681242705826,-0.999968535656308,52.88732,0.5796557,tran_LayGtKttmmTtVt,Lay,Thu Apr 16 17:31:41 2026,False
